Name;default value;possible values/ samples;used by;description;conflicts
CAMPFIRE_TOKEN;;;;;
DATABASE_URL;;;;;
MONGO_URL;;;;;
MONGO_URL;;;;;
MONGODB_URL;;;;;
MONGOHQ_URL;;;;;
MYSQL_DATABASE;;;;;
MYSQL_HOST;localhost;;;;
MYSQL_PASSWORD;;;;;
MYSQL_USER;;;;;
NODE_CONFIG;;;;;
NODE_ENV;;development, test, production;node.js;;
OPENSHIFT_REDIS_HOST;;;;;
OPENSHIFT_REDIS_PORT;;;;;
REDIS_AUTH;;;;;
REDIS_DB;;;;;
REDIS_HOST;;;;;
REDIS_PASSWORD;;;;;
REDIS_PORT;;;;;
REDIS_UR;;=redis://rediscloud:password@host:port;;;
REDIS_URL;;;;;
REDIS_URL;;;;;
REDISTOGO_URL;;;;;
SELENIUM_RC_HOST;;;;;
SOLR_URL;;;;;
USE_NETWORK;;;;;
VCAP_SERVICES;;;;;
;;;;;
CI;;;Gitlab;Mark that build is executed in CI environment;
GITLAB_CI;;;Gitlab;Mark that build is executed in GitLab CI environment;
CI_SERVER;;;Gitlab;Mark that build is executed in CI environment;
CI_SERVER_NAME;;;Gitlab;The name of CI server that is used to coordinate builds;
CI_SERVER_VERSION;;;Gitlab;GitLab version that is used to schedule builds;
CI_SERVER_REVISION;;;Gitlab;GitLab revision that is used to schedule builds;
CI_BUILD_ID;;;Gitlab;The unique id of the current build that GitLab CI uses internally;
CI_BUILD_REF;;;Gitlab;The commit revision for which project is built;
CI_BUILD_TAG;;;Gitlab;The commit tag name. Present only when building tags.;
CI_BUILD_NAME;;;Gitlab;The name of the build as defined in .gitlab-ci.yml;
CI_BUILD_STAGE;;;Gitlab;The name of the stage as defined in .gitlab-ci.yml;
CI_BUILD_REF_NAME;;;Gitlab;The branch or tag name for which project is built;
CI_BUILD_REF_SLUG;;;Gitlab;$CI_BUILD_REF_NAME lowercased, shortened to 63 bytes, and with everything except 0-9 and a-z replaced with -. Use in URLs and domain names.;
CI_BUILD_REPO;;;Gitlab;The URL to clone the Git repository;
CI_BUILD_TRIGGERED;;;Gitlab;The flag to indicate that build was triggered;
CI_BUILD_MANUAL;;;Gitlab;The flag to indicate that build was manually started;
CI_BUILD_TOKEN;;;Gitlab;Token used for authenticating with the GitLab Container Registry;
CI_PIPELINE_ID;;;Gitlab;The unique id of the current pipeline that GitLab CI uses internally;
CI_PROJECT_ID;;;Gitlab;The unique id of the current project that GitLab CI uses internally;
CI_PROJECT_NAME;;;Gitlab;The project name that is currently being built;
CI_PROJECT_NAMESPACE;;;Gitlab;The project namespace (username or groupname) that is currently being built;
CI_PROJECT_PATH;;;Gitlab;The namespace with project name;
CI_PROJECT_URL;;;Gitlab;The HTTP address to access project;
CI_PROJECT_DIR;;;Gitlab;The full path where the repository is cloned and where the build is run;
CI_ENVIRONMENT_NAME;;;Gitlab;The name of the environment for this build;
CI_ENVIRONMENT_SLUG;;;Gitlab;A simplified version of the environment name, suitable for inclusion in DNS, URLs, Kubernetes labels, etc.;
CI_REGISTRY;;;Gitlab;If the Container Registry is enabled it returns the address of GitLab's Container Registry;
CI_REGISTRY_IMAGE;;;Gitlab;If the Container Registry is enabled for the project it returns the address of the registry tied to the specific project;
CI_RUNNER_ID;;;Gitlab;The unique id of runner being used;
CI_RUNNER_DESCRIPTION;;;Gitlab;The description of the runner as saved in GitLab;
CI_RUNNER_TAGS;;;Gitlab;The defined runner tags;
CI_DEBUG_TRACE;;;Gitlab;Whether debug tracing is enabled;
GITLAB_USER_ID;;;Gitlab;The id of the user who started the build;
GITLAB_USER_EMAIL;;;Gitlab;The email of the user who started the build;
;;;;;
PGHOST;;;PostgresQL;behaves the same as host connection parameter.;
PGHOSTADDR;;;PostgresQL;behaves the same as hostaddr connection parameter. This can be set instead of or in addition to PGHOST to avoid DNS lookup overhead.;
PGPORT;;;PostgresQL;behaves the same as port connection parameter.;
PGDATABASE;;;PostgresQL;behaves the same as dbname connection parameter.;
PGUSER;;;PostgresQL;behaves the same as user connection parameter. database.;
PGPASSWORD;;;PostgresQL;"behaves the same as password connection parameter. Use of this environment variable is not recommended for security reasons (some operating systems allow non-root users to see process environment variables via ps); instead consider using the ~/.pgpass file (see Section 30.14).";
PGPASSFILE;;;PostgresQL;specifies the name of the password file to use for lookups. If not set, it defaults to ~/.pgpass (see Section 30.14).;
PGSERVICE;;;PostgresQL;behaves the same as service connection parameter.;
PGREALM;;;PostgresQL;sets the Kerberos realm to use with PostgreSQL, if it is different from the local realm. If PGREALM is set, libpq applications will attempt authentication with servers for this realm and use separate ticket files to avoid conflicts with local ticket files. This environment variable is only used if Kerberos authentication is selected by the server.;
PGOPTIONS;;;PostgresQL;behaves the same as options connection parameter.;
PGSSLMODE;;;PostgresQL;behaves the same as sslmode connection parameter.;
PGREQUIRESSL;;;PostgresQL;behaves the same as requiressl connection parameter.;
PGSSLCERT;;;PostgresQL;behaves the same as sslcert connection parameter.;
PGSSLKEY;;;PostgresQL;behaves the same as sslkey connection parameter.;
PGSSLROOTCERT;;;PostgresQL;behaves the same as sslrootcert connection parameter.;
PGSSLCRL;;;PostgresQL;behaves the same as sslcrl connection parameter.;
PGKRBSRVNAME;;;PostgresQL;behaves the same as krbsrvname connection parameter.;
PGGSSLIB;;;PostgresQL;behaves the same as gsslib connection parameter.;
PGCONNECT_TIMEOUT;;;PostgresQL;behaves the same as connect_timeout connection parameter.;
PGDATESTYLE;;;PostgresQL;sets the default style of date/time representation. (Equivalent to SET datestyle TO ....);
PGTZ;;;PostgresQL;sets the default time zone. (Equivalent to SET timezone TO ....);
PGCLIENTENCODING;;;PostgresQL;sets the default client character set encoding. (Equivalent to SET client_encoding TO ....);
PGGEQO;;;PostgresQL;sets the default mode for the genetic query optimizer. (Equivalent to SET geqo TO ....);
PGSYSCONFDIR;;;PostgresQL;sets the directory containing the pg_service.conf file.;
PGLOCALEDIR;;;PostgresQL;sets the directory containing the locale files for message internationalization.;
;;;;;
OpenShift;;;;;
OS_USERNAME;;;OpenShift;;
OS_PASSWORD;;;OpenShift;;
OS_TENANT_NAME;;;OpenShift;;
OS_AUTH_URL;;;OpenShift;;
;;;;;
OS_TENANT_ID=tenantIDString;;;OpenShift;;
OS_REGION_NAME=regionName;;;OpenShift;;
OS_CACERT=/path/to/cacertFile;;;OpenShift;;
;;;;;
OPENSHIFT_APP_DNS;;;OpenShift;The fully-qualified domain namespace of the application.;
OPENSHIFT_APP_NAME;;;OpenShift;The name of the application.;
OPENSHIFT_APP_UUID;;;OpenShift;The UUID of the application (32 hexadecimal characters).;
OPENSHIFT_<cart-name>_IP;;;OpenShift;The IP address the application listens on.;
OPENSHIFT_<cart-name>_PORT;;;OpenShift;The port the application receives requests from.;
OPENSHIFT_SECRET_TOKEN;;;OpenShift;A 128-character string unique to an application that can be used for authentication, and can be overridden with the rhc env set command.;
OPENSHIFT_HOMEDIR;;;OpenShift;The home directory of the application.;
OPENSHIFT_DATA_DIR;;;OpenShift;A persistent data directory.;
OPENSHIFT_REPO_DIR;;;OpenShift;Repository containing the currently deployed version of the application.;
OPENSHIFT_TMP_DIR;;;OpenShift;"A temporary directory you can use; SELinux protects data in this directory from other users.";
OPENSHIFT_LOG_DIR;;;OpenShift;Where all cartridge logs are stored.;
LOGSHIFTER_PHP_MAX_FILESIZE=500K;;;OpenShift;;
LOGSHIFTER_PHP_MAX_FILESIZE=10M;;;OpenShift;;
LOGSHIFTER_PHP_MAX_FILESIZE=2G;;;OpenShift;;
LOGSHIFTER_PHP_MAX_FILESIZE=1T;;;OpenShift;;
OPENSHIFT_<database>_DB_HOST;;;OpenShift;The host name or IP address used to connect to the database.;
OPENSHIFT_<database>_DB_PORT;;;OpenShift;The port the database server is listening on.;
OPENSHIFT_<database>_DB_USERNAME;;;OpenShift;The database administrative user name.;
OPENSHIFT_<database>_DB_PASSWORD;;;OpenShift;The database administrative user?s password.;
OPENSHIFT_<database>_DB_SOCKET;;;OpenShift;An AF socket for connecting to the database (for non-scaled apps only).;
OPENSHIFT_<database>_DB_URL;;;OpenShift;Database connection URL.;
OPENSHIFT_MAX_SESSIONS_PER_GEAR;;;OpenShift;Configures the max sessions used for the scaling algorithm;
OPENSHIFT_<cart-name>_LD_LIBRARY_PATH_ELEMENT;;;OpenShift;Configures the location of each cartridge?s library file.;
JENKINS_USERNAME;;;OpenShift;System builder account on the Jenkins server.;
JENKINS_PASSWORD;;;OpenShift;Password for the system builder account on the Jenkins server.;
JENKINS_URL;;;OpenShift;DNS name for the associated Jenkins server where builds occur.;
JAVA_OPTS_EXT;;;OpenShift;Appended to JAVA_OPTS prior to invoking the Java VM.;
OPENSHIFT_GEAR_DNS;;;OpenShift;The fully-qualified domain name of the gear.;
OPENSHIFT_GEAR_NAME;;;OpenShift;The name of the gear.;
OPENSHIFT_GEAR_UUID;;;OpenShift;The UUID of the gear.;
;;;;;
TRAVIS;;;TravisCI;;
TRAVIS_OS_NAME;;;TravisCI;;
TRAVIS_BUILD_DIR;;;TravisCI;;
TRAVIS_REPO_SLUG;;;TravisCI;;
TRAVIS_COMMIT_RANGE;;;TravisCI;;
TRAVIS_BUILD_NUMBER;;;TravisCI;;
TRAVIS_JOB_NUMBER;;;TravisCI;;
TRAVIS_BUILD_ID;;;TravisCI;;
TRAVIS_JOB_ID;;;TravisCI;;
TRAVIS_BRANCH;;;TravisCI;;
TRAVIS_COMMIT;;;TravisCI;;
TRAVIS_PULL_REQUEST;;;TravisCI;;
TRAVIS_NODE_VERSION;;;TravisCI;;
TRAVIS_PHP_VERSION;;;TravisCI;;
TRAVIS_PYTHON_VERSION;;;TravisCI;;
TRAVIS_RUBY_VERSION;;;TravisCI;;
TRAVIS_SCALA_VERSION;;;TravisCI;;
;;;;;
BASE_BRANCH;;;Shippable;Name of the target branch into which the pull request changes will be merged.;
BRANCH;;;Shippable;Name of branch being built.;
BUILD_NUMBER;;;Shippable;Build number for current build.;
BUILD_URL;;;Shippable;Direct URL link to the build output.;
CACHE_CONTAINER;;;Shippable;false;
CACHE_DIR;;;Shippable;If cache is true in the build section of shippable.yml, then true. Otherwise false.;
CI;;;Shippable;true;
COMMIT;;;Shippable;Commit id that is being built and tested.;
COMMITTER;;;Shippable;Name of the last committer.;
COMMIT_MESSAGE;;;Shippable;Commit message specified in the commit.;
COMPARE_URL;;;Shippable;A link to GitHub/Bitbucket's comparision view for the push.;
CONTINUOUS_INTEGRATION;;;Shippable;true;
DEBIAN_FRONTEND;;;Shippable;noninteractive;
HEAD_BRANCH;;;Shippable;This is only set for pull requests and is the name of the branch the pull request was opened from.;
